0.0 + 0.0im,-5.007895706242151e-16 + 4.042627341614276e-15im,-5.06347924076519e-16 + 2.013219760830337e-15im,8.382662062632963e-16 - 2.163058739662263e-15im,1.15769767046272e-15 - 2.1565365867943087e-15im,-1.9535714188562855e-16 + 2.763125674657163e-16im,-5.501520149296246e-16 + 6.036418980507557e-16im,7.672235042491654e-17 - 6.608841741138769e-17im,-9.489280810098202e-16 + 6.291767741055007e-16im,-1.8784688441244276e-15 + 9.352602796553197e-16im,1.3376701046314204e-15 - 4.715356451242845e-16im,5.205854678949444e-15 - 1.1397065303078762e-15im,1.261656229169245e-15 - 1.1722095982213243e-16im,-7.583359199776675e-15 - 2.3354775831274015e-16im,-6.61115045422432e-15 - 1.0259548263182303e-15im,5.605243155976827e-15 + 1.5943653549968329e-15im,1.0390635104262887e-14 + 4.398435912365342e-15im,-4.952904183904935e-19 - 3.5725578742735783e-19im,-8.717812534955177e-15 - 6.58375744322982e-15im,-3.9408808458953975e-15 - 3.820522491816862e-15im,3.867953312006586e-15 + 4.805955866273812e-15im,3.618327307268934e-15 + 5.844117878587774e-15im,-4.670791654069188e-16 - 1.0144475306810808e-15im,-1.3261358819460763e-15 - 4.170562878227519e-15im,-1.7723303061797487e-16 - 9.44837060763987e-16im,4.39903345259858e-17 + 7.096986541953626e-16im,4.3990334525985995e-17 - 7.096986541953627e-16im,-1.772330306179749e-16 + 9.448370607639873e-16im,-1.3261358819460763e-15 + 4.170562878227519e-15im,-4.670791654069188e-16 + 1.014447530681081e-15im,3.618327307268935e-15 - 5.844117878587774e-15im,3.867953312006586e-15 - 4.805955866273812e-15im,-3.940880845895398e-15 + 3.820522491816862e-15im,-8.717812534955177e-15 + 6.58375744322982e-15im,-4.952904183904935e-19 + 3.5725578742735783e-19im,1.0390635104262887e-14 - 4.398435912365342e-15im,5.6052431559768265e-15 - 1.5943653549968325e-15im,-6.611150454224319e-15 + 1.0259548263182303e-15im,-7.583359199776675e-15 + 2.3354775831274015e-16im,1.261656229169245e-15 + 1.1722095982213236e-16im,5.205854678949444e-15 + 1.1397065303078756e-15im,1.3376701046314202e-15 + 4.715356451242844e-16im,-1.8784688441244273e-15 - 9.352602796553195e-16im,-9.4892808100982e-16 - 6.291767741055007e-16im,7.672235042491646e-17 + 6.608841741138779e-17im,-5.501520149296246e-16 - 6.036418980507556e-16im,-1.9535714188562862e-16 - 2.763125674657163e-16im,1.15769767046272e-15 + 2.1565365867943087e-15im,8.382662062632968e-16 + 2.1630587396622625e-15im,-5.063479240765192e-16 - 2.0132197608303365e-15im,-5.007895706242147e-16 - 4.042627341614276e-15im
6.24118645020264e-5 - 0.0005040253554214789im,313.8745578457608 + 78.94209636271775im,147.40738793358418 + 57.10538166337784im,-147.43061787417025 - 79.16914626585069im,-139.14979903087044 - 98.50272548624008im,18.38045874277417 + 16.75531488173851im,57.76565548386869 + 67.42357984654545im,10.86441547207458 + 16.395128619813228im,-10.960830869876006 - 22.013455169586106im,-4.287279464037995 - 12.167943774075223im,0.608074644324299 + 2.774179709363396im,0.3260802497105857 + 3.5134619922784367im,-0.007873445406052504 + 0.2720431902501659im,0.07921275057422861 - 0.5069860569669515im,0.0384044192245625 - 0.13312169257627104im,-0.01362433862500012 + 0.03349173046038256im,-0.00976545265150719 + 0.01793000972625869im,0.0003518600146612061 + 0.00037681942002442553im,0.0013799724116222087 - 0.0006935789630261313im,0.0004241725030285173 + 0.00031055959474089734im,0.0001640448765828327 + 0.0004957748680252533im,0.00015074189798439455 + 0.0004896947253559825im,0.0001165185375380691 + 0.0004958873478257686im,6.568315519084322e-5 + 0.0005043938023627792im,1.3976355837219678e-5 + 0.0005079778573302551im,-3.706879904097349e-5 + 0.0005065535641861629im,-8.760615654335169e-5 + 0.0005002956831603456im,-0.00013745699598288752 + 0.000489226344667415im,-0.00018672789139628776 + 0.00047313854135211386im,-0.0002339530484558594 + 0.00045248956058863143im,-0.00026563229297948965 + 0.00043813642713175227im,-0.0002800165110841135 + 0.0004407881518559975im,-0.00048711093987208187 + 0.00019771825027170564im,-0.0011691195915659591 - 0.001009224957814303im,-0.00043314419067847464 + 0.00027961483384504094im,0.005097130686498343 + 0.019770396380376032im,0.005043749284570067 + 0.03580334070104042im,-0.004774280830771912 - 0.13846837434192288im,0.046840572396091046 - 0.5109946013315995im,-0.05871942333324891 + 0.26574709373285943im,-1.1732132120669037 + 3.3278092282262968im,-1.2663694201062956 + 2.54207323355039im,7.1257189201541395 - 10.75470830672665im,15.999163936856451 - 18.675084342058433im,-14.535273649943253 + 13.249965506798034im,-72.46649187970493 + 51.29734522812227im,-21.912163756052387 + 11.766006965363202im,158.9732149641886 - 61.587096233700564im,162.2882024756265 - 40.817645013564im,-156.88401924663714 + 19.425939805914375im,-323.64964489514665 - 0.0005078747874819323im
-0.00018045933968019516 + 0.0007175033639897683im,-439.64059386662643 - 170.31688000431387im,-202.8859405080363 - 108.94660936640555im,198.9697107607924 + 140.84864844398487im,183.53695892306126 + 167.3170467126533im,-23.573370887092775 - 27.513818623132565im,-71.44254084997041 - 107.8162727997198im,-12.771806160238324 - 25.647584601416224im,11.905412957042254 + 33.78733477386211im,4.019895062898326 + 18.358860256523243im,-0.3824732446915 - 4.11952520231065im,0.15755475680617792 - 5.137833411657116im,0.060083405204688134 - 0.39188700055907244im,-0.20527862529347374 + 0.7187760269587358im,-0.07935297879599545 + 0.18558073014462906im,0.02569251564518993 - 0.04598044061744133im,0.017327842485030942 - 0.024173462672269608im,-0.00044123124094314347 - 0.0006077622081391368im,-0.0021192078291368847 + 0.0007556763498955191im,-0.000557636084675683 - 0.0005249147352665885im,-0.00014840919579453896 - 0.0007461153829653872im,-0.00013026535689258933 - 0.0007349437649606938im,-7.967959390593748e-5 - 0.0007377699208029886im,-4.663390173353932e-6 - 0.0007409673618470336im,7.073143415525784e-5 - 0.0007368924243624786im,0.00014427312510623125 - 0.0007256952971710362im,0.0002162153867963923 - 0.0007076010920563647im,0.0002863038020421982 - 0.0006826737975043073im,0.0003546553883140291 - 0.0006505950615220968im,0.0004192328898255937 - 0.0006122883943167068im,0.00046246252776427355 - 0.0005858667180191901im,0.0004837326916060647 - 0.0005871253164198009im,0.0007396179696996796 - 0.00019864224402283808im,0.0015095423275113262 + 0.0016683436487987535im,0.0006762584885288061 - 0.00032670225942899554im,-0.003829731093278552 - 0.02949480602593594im,-0.0008823693886941822 - 0.052664292493275006im,-0.01788610573219559 + 0.2010402692660152im,-0.15919533505262412 + 0.7303664396934477im,0.13246500231275243 - 0.3736822981497282im,2.29186822113782 - 4.601032028172713im,2.285884422997994 - 3.448406310177579im,-12.227035068376502 + 14.272593305771522im,-26.47338437733765 + 24.13467978673999im,23.385823993560756 - 16.55357558425679im,113.94893366320525 - 61.18844531888141im,33.785037526508866 - 13.087599838757916im,-240.8549156619321 + 60.578205757956056im,-241.92932954168313 + 29.95808866136675im,230.28692656709637 + 0.0007398490728792268im,467.90454284999475 + 57.93988410534888im
0.0002254535474070203 - 0.0005819626905078368im,350.39669664431926 + 188.15834387646876im,158.55550359641626 + 112.23835242410459im,-151.96988465792458 - 138.53969956387698im,-136.30629058512284 - 159.09833971174112im,16.88265245671856 + 25.47734910505165im,48.63266960043711 + 97.66616652005749im,8.033405163416692 + 22.795270621575693im,-6.464293385257815 - 29.51978315602738im,-1.4621744749349546 - 15.786139605536874im,-0.1068513446719459 + 3.488377015169207im,-0.6645062608026677 + 4.284889231356328im,-0.09092426024145084 + 0.32184619603150244im,0.24636335041947177 - 0.5804552629034525im,0.0856696350247006 - 0.1471359460035231im,-0.026275414513236228 + 0.03582990321924662im,-0.017012198987913507 + 0.018440944918694413im,0.0003063811422450917 + 0.0005545378038389452im,0.001852465957248216 - 0.000412942039379258im,0.00041241964967131005 + 0.0004972476302208644im,4.689814133184214e-5 + 0.0006400074352125168im,3.286681846351169e-5 + 0.000628774073967997im,-9.77485660892674e-6 + 0.0006258961308009681im,-7.290736668652542e-5 + 0.0006207964658313525im,-0.00013560296372649994 + 0.0006095693600958185im,-0.00019600886726767186 + 0.000592571898443417im,-0.00025436080576035636 + 0.0005699662370410863im,-0.00031045242299931886 + 0.000541832318703861im,-0.00036434868050605473 + 0.0005078914993319472im,-0.0004144397904966013 + 0.00046912810022625706im,-0.0004478912264147539 + 0.0004425274151902414im,-0.00046582836566244623 + 0.000441376128196514im,-0.0006397753610372092 + 8.962511147636576e-5im,-0.0010907916082203428 - 0.0015531660948511217im,-0.0006000080988764606 + 0.00020340074115149078im,0.00014858249716907085 + 0.025089067083886814im,-0.004720684082138323 + 0.044180250274735586im,0.03581422162810401 - 0.1664500360492166im,0.2089854691134094 - 0.5949355312650738im,-0.14963254108052004 + 0.29910248686727847im,-2.395635156390671 + 3.6142463243537293im,-2.2711403019866836 + 2.6499270062608975im,11.715613457755932 - 10.68103736296709im,24.664519768842716 - 17.460416693822996im,-21.29383256491132 + 11.433838197560966im,-101.73724741919106 + 39.41255032036344im,-29.64040981558809 + 7.4542187624868im,207.91542259087623 - 25.746137593159375im,205.64069197948805 - 0.0006241072625554739im,-192.78842011035016 - 23.873008753523415im,-385.7077399701419 - 97.01003410324063im
-0.0001475598707656015 + 0.00027479140997225073im,-162.23148519296274 - 114.84090842758914im,-71.74610576547582 - 65.40479535806043im,66.86452893702992 + 78.0450902054992im,57.83321149504509 + 87.27963812238556im,-6.808649513750875 - 13.672911754671766im,-18.122333371074156 - 51.42650927396721im,-2.5843840002860263 - 11.799200110066911im,1.393163398152707 + 15.038007839112122im,-0.24430284905349442 + 7.919292518187779im,0.26723305379521767 - 1.7235773430799748im,0.5927322171679883 - 2.084377394487249im,0.06486204129935835 - 0.1540428221210821im,-0.1578379829079708 + 0.27275959734642896im,-0.05152610923912704 + 0.06771402796483095im,0.01523237053305948 - 0.01615695469906786im,0.009570130927521348 - 0.008101404806577506im,-0.00011789988090581322 - 0.0002938518966213061im,-0.0009441331690548218 + 9.103927288547572e-5im,-0.00017401054049407836 - 0.0002719498630490147im,1.6045684188881887e-5 - 0.00032030641938334686im,2.2314942772425073e-5 - 0.00031387324965159724im,4.3287299248413735e-5 - 0.00030982704186502397im,7.428610299664573e-5 - 0.00030342048187537163im,0.00010469189474726637 - 0.00029400171175741896im,0.00013360767632786263 - 0.0002818616238253746im,0.0001611603213973467 - 0.00026706616589411425im,0.00018725239256855986 - 0.0002496676607348647im,0.00021189899614526553 - 0.00022952391891095658im,0.00023436217322547748 - 0.00020722200150058434im,0.00024931949680961907 - 0.00019197437859400947im,0.0002581451212861907 - 0.000190301767276857im,0.0003228153819918589 - 5.159977146007577e-6im,0.00044561553738731163 + 0.0008373185672212458im,0.00031007940645332797 - 6.403187299141392e-5im,0.0014671452593953795 - 0.012452616214997627im,0.005054648037439973 - 0.021622276254411377im,-0.027985357287787494 + 0.080355144788755im,-0.1401888777788442 + 0.28223696664356546im,0.0925829442578443 - 0.13915701161312807im,1.4101374526367416 - 1.6454400531740796im,1.2891680057708026 - 1.1748098635593276im,-6.466596795813491 + 4.577991235362434im,-13.305253866407945 + 7.145124461728186im,11.263364553890625 - 4.363116182786974im,52.87940297686974 - 13.299382080668387im,15.158631356172823 - 1.8767310568633058im,-104.70155482373656 + 0.0003119042071830033im,-101.99219706842106 - 12.629056667533906im,94.15162918654701 + 23.6804068769849im,185.34264511815203 + 71.80245773645326im
1.2576330862956759e-5 - 1.7766056302718668e-5im,10.250967767219272 + 9.344962422151232im,4.408086819868794 + 5.145107409556664im,-3.9615947601510735 - 5.978685778203236im,-3.2569072673930495 - 6.540800355656563im,0.3542950923612861 + 1.005350971672188im,0.8140840729281273 + 3.7171197570783674im,0.07779945390924337 + 0.8393539099409464im,0.032478276355948965 - 1.0534516638566513im,0.08483589568074013 - 0.5463800237106125im,-0.03328947325248549 + 0.11707990140969686im,-0.05892715286684691 + 0.13927674353212782im,-0.0058132948834278 + 0.010112455847810203im,0.01327074855164767 - 0.0175371916082534im,0.004149316807082304 - 0.004247856537321293im,-0.0011935272997845026 + 0.000988367028477155im,-0.0007322868436174801 + 0.0004790143658466306im,5.645444700644306e-6 + 2.1362735323651828e-5im,6.616962503662953e-5 + 1.7916897200089812e-6im,9.719394571265898e-6 + 2.0327047711726602e-5im,-3.858245182950144e-6 + 2.204620664692826e-5im,-4.23727119566817e-6 + 2.1546892287904046e-5im,-5.655076467460211e-6 + 2.1086800441379e-5im,-7.74705203963888e-6 + 2.037724815630998e-5im,-9.772123982836056e-6 + 1.9464161597052e-5im,-1.1670662595469894e-5 + 1.837538007418149e-5im,-1.3452020474535864e-5 + 1.7114382939553696e-5im,-1.510989801750684e-5 + 1.5685629593767403e-5im,-1.6644122038611542e-5 + 1.4079142714173987e-5im,-1.8008617540643534e-5 + 1.2341909780746269e-5im,-1.8913769583406292e-5 + 1.1157614180745679e-5im,-1.9510671249722833e-5 + 1.0966083639707414e-5im,-2.2401832630247753e-5 - 2.411098222632191e-6im,-2.3681632577599032e-5 - 6.181269860361382e-5im,-2.2024649194410717e-5 + 1.7754814107111768e-6im,-0.00020840547624217059 + 0.0008498623073746279im,-0.0005355082193959459 + 0.001454169091017016im,0.002627339374774493 - 0.005325242054306409im,0.012129683059667745 - 0.018344935145638796im,-0.0076055311209599396 + 0.008843758083740109im,-0.11177475620607881 + 0.10186669970593218im,-0.09936051199440338 + 0.07030918147541164im,0.4871251251715383 - 0.2616053744336613im,0.9827732972418217 - 0.380751746871683im,-0.8174973841552424 + 0.20558640047694204im,-3.7763827311668736 + 0.4675955880910538im,-1.0659529015109945 - 2.1766875167274863e-5im,7.251433622207059 + 0.8979001412627645im,6.955479036152422 + 1.7493507526480334im,-6.317679680260818 - 2.447505490289127im,-12.220701085166002 - 6.562402595315955im
8.260814559895529e-5 - 9.061681904549872e-5im,50.83989974973458 + 59.340395437195504im,21.082083080187203 + 31.815833700492902im,-18.008863819740064 - 36.1669491101876im,-13.680101370786502 - 38.82167765129169im,1.2847526023569174 + 5.865786535471027im,1.9779832958964363 + 21.344510295134594im,-0.1461109221154347 + 4.74635382504483im,0.9108428925417071 - 5.866948095885279im,0.8525247410712389 - 2.995865600242441im,-0.2671588201400117 + 0.6315022372165783im,-0.42585508856326726 + 0.7378478888236142im,-0.039500351392674826 + 0.05251039082361508im,0.0863319248860357 - 0.08885660466691281im,0.026137840048512828 - 0.02087565177173012im,-0.007356752980852477 + 0.004699329854343404im,-0.0044255319833794715 + 0.0021710419984213303im,1.677273516387709e-5 + 0.00012333876098925386im,0.0003686878834654537 + 5.5823668366432495e-5im,4.026555031403029e-5 + 0.00012036890162257221im,-3.683178186915728e-5 + 0.00012058068920292077im,-3.8605107647256276e-5 + 0.00011752683289525251im,-4.6212990026151674e-5 + 0.0001139731416934138im,-5.741719878465945e-5 + 0.00010855811003865345im,-6.810647573191053e-5 + 0.00010205151386957767im,-7.796672706628094e-5 + 9.46502714741504e-5im,-8.705264810338065e-5 + 8.636736002409773e-5im,-9.533210731760278e-5 + 7.723207127885434e-5im,-0.00010279722953399073 + 6.71887458496325e-5im,-0.0001092229555883506 + 5.653196836358232e-5im,-0.00011346345420193416 + 4.9284433138119255e-5im,-0.00011666790515718617 + 4.7800446357548765e-5im,-0.00012357066537660444 - 2.8987543492675627e-5im,-8.960376059974351e-5 - 0.0003619643676486817im,-0.00012436021233587627 - 5.320920499591118e-6im,-0.001753444140149226 + 0.004606971927666788im,-0.004000487813136585 + 0.007758969825829706im,0.018374904300361667 - 0.027952502772543207im,0.08051185297784408 - 0.09416230125445704im,-0.048641758132455984 + 0.04417689747342009im,-0.6954074094179787 + 0.49211848006680947im,-0.6041580539528502 + 0.32428684313744693im,2.904424706487516 - 1.1253116249286204im,5.757878750198417 - 1.4482910732028844im,-4.712625301302538 + 0.5834259195495769im,-21.43596365090491 - 0.0001226193851397763im,-5.959306139155429 - 0.7380455736609262im,39.91831172927442 + 10.039731961574844im,37.67431560178251 + 14.594976120368578im,-33.62532218277802 - 18.056555849931968im,-63.77817391686425 - 45.14778476333045im
-9.946536021741666e-5 + 8.521670346784873e-5im,-46.10458273891884 - 69.5785595469045im,-18.1721960595766 - 36.49439552822517im,14.343214384429462 + 40.70348088987092im,9.40594415917299 + 42.94946610941081im,-0.5919552514286074 - 6.386794997572517im,0.704989626532658 - 22.886341995269053im,0.7779193858896634 - 5.012293894587872im,-1.7356848594235041 + 6.099820906693664im,-1.2969900554855451 + 3.0639240737420863im,0.36610169111756363 - 0.6343686858131974im,0.5482905314268125 - 0.7262713445964888im,0.04876597691542406 - 0.050479730950638735im,-0.1031817765338161 + 0.08286194794736534im,-0.030448220497447664 + 0.01869868751616366im,0.008415541038603536 - 0.0040159382845184055im,0.004976361582688327 - 0.0017205405478577518im,-1.5901988344287836e-6 - 0.0001329495508257951im,-0.00038350771301651145 - 0.0001075729786010715im,-2.6884095899048274e-5 - 0.000132885078958631im,5.487236897672512e-5 - 0.00012298938704005669im,5.6351355368668143e-5 - 0.00011951930570677088im,6.39497764409469e-5 - 0.00011475348916601888im,7.511623033273906e-5 - 0.00010754244639432642im,8.559353532189284e-5 - 9.924186014440006e-5im,9.507457812918396e-5 - 9.010170742140833e-5im,0.00010361904312672365 - 8.012856536870894e-5im,0.00011119671361203842 - 6.935770308108006e-5im,0.00011779193519068087 - 5.773115138540952e-5im,0.0001232047978332318 - 4.5590733420697305e-5im,0.00012674867880235752 - 3.735119959102917e-5im,0.00012995082918365597 - 3.535743477378617e-5im,0.00012718865082916864 + 4.694939748972615e-5im,4.747302043028867e-5 + 0.0003954698774784049im,0.00013113223242245076 + 2.1964731199747474e-5im,0.0024635111011501445 - 0.004653552130682099im,0.005259285317375883 - 0.007699935663882676im,-0.023147900306924932 + 0.02721965755972902im,-0.09770853936682403 + 0.08925033759660397im,0.05736262106620485 - 0.040445685131785244im,0.8017794580621526 - 0.4303978083864335im,0.6830181761445759 - 0.26446218791282883im,-3.2266114297226123 + 0.8116604063696268im,-6.293871978808932 + 0.7794822251551725im,5.072302104519266 + 0.00013097803034339286im,22.723632467454344 + 2.813927465658846im,6.220409298231709 + 1.56463079452749im,-40.99838611337193 - 15.882718933097678im,-38.02164501818242 - 20.4170435063727im,33.27503835911045 + 23.555072421836467im,61.683071897586885 + 56.23172716028806im
6.555067184451632e-5 - 4.343545042945363e-5im,22.33665082704017 + 44.85786555642134im,8.13486336060752 + 23.08482931183502im,-5.542937103702583 - 25.310192044446257im,-2.435504484650551 - 26.28413143368791im,-0.11850951591771965 + 3.8490572892447275im,-2.1085689407447084 + 13.584139631407117im,-0.8333002398527289 + 2.929033898076912im,1.4841927765043854 - 3.506342265854478im,0.9988252654100014 - 1.7298588367379721im,-0.264933725051526 + 0.35095943599787605im,-0.38026602612276506 + 0.39227529571186404im,-0.03278009341972399 + 0.02647897665093646im,0.06759125853974268 - 0.04175824682292095im,0.019521237798124425 - 0.008894635948752061im,-0.00531044244069534 + 0.0017718919343181483im,-0.003091957495247044 + 0.0006579845540830576im,-8.861354909447868e-6 + 7.933139642314662e-5im,0.00022056519377881964 + 9.238884225444381e-5im,6.2140252661073946e-6 + 8.115913037424864e-5im,-4.1768066163686696e-5 + 6.923119857104622e-5im,-4.2393259003181694e-5 + 6.705453531722846e-5im,-4.6568939244550495e-5 + 6.365436324655416e-5im,-5.269012144637486e-5 + 5.853403078628916e-5im,-5.8320309614889876e-5 + 5.281537035947692e-5im,-6.329496228485443e-5 + 4.6669981783417636e-5im,-6.765012589560193e-5 + 4.00973804211551e-5im,-7.13703988106662e-5 + 3.312080967324271e-5im,-7.444217694452249e-5 + 2.5706885274923152e-5im,-7.677156900665061e-5 + 1.8074021549074892e-5im,-7.827518505543196e-5 + 1.2903275533382441e-5im,-8.003599491779312e-5 + 1.1479099408795435e-5im,-7.231775173544008e-5 - 3.735721266728831e-5im,8.918020455439546e-7 - 0.00023913156958954573im,-7.651075167328317e-5 - 2.2761787002167056e-5im,-0.0018111429590422098 + 0.0025909276346038224im,-0.003701680503825447 + 0.004199757301371858im,0.01580022204820847 - 0.014510212164507536im,0.06480151765579917 - 0.045968388249053624im,-0.03716185304760569 + 0.01986623787119475im,-0.5094708094503435 + 0.19728571303326223im,-0.4264679045691853 + 0.10717989903892225im,1.982364526362467 - 0.2455491610279273im,3.8075273179534497 - 7.863541780067587e-5im,-3.022172140692839 - 0.3743052468805441im,-13.331599529063535 - 3.353112956658588im,-3.590811431707195 - 1.3911720897041997im,23.25587642921584 + 12.488052643513992im,21.147736934403916 + 14.970076673671446im,-18.088091874955246 - 16.489580909637752im,-32.603344965089775 - 38.05490729898631im
-2.5468641463300182e-5 + 1.2681876568623181e-5im,-6.025955013588263 - 17.100332989011957im,-1.8945845273481483 - 8.650804397631735im,0.8649518063431076 + 9.334624900947261im,-0.2941429457611646 + 9.546174027647634im,0.21369287547924606 - 1.3768178766772325im,1.361114715795976 - 4.78392598136612im,0.42944719593588826 - 1.0146820880245118im,-0.6888329035369161 + 1.193036684067671im,-0.43556397086752513 + 0.5767326999844309im,0.11073477819262212 - 0.11423989508815566im,0.15398434580440123 - 0.12394726125770983im,0.012947727102235351 - 0.008050356887515348im,-0.02612678517813638 + 0.011988910407435771im,-0.007405001458345772 + 0.0023258441764428817im,0.0019856121202144195 - 0.0004001194554739129im,0.0011394898700918255 - 9.878678672503582e-5im,6.709148801231216e-6 - 2.8091651076301744e-5im,-7.509083806653418e-5 - 4.298113247058749e-5im,1.3772740210959587e-6 - 2.9418230503866017e-5im,1.8075931954100472e-5 - 2.3001835760813345e-5im,1.820364061744066e-5 - 2.2192460060696008e-5im,1.9551827944896266e-5 - 2.0785892846601067e-5im,2.1522106784688244e-5 - 1.8675162635747866e-5im,2.3289480338889446e-5 - 1.6371420771396292e-5im,2.480249623304509e-5 - 1.3943599826563624e-5im,2.6074076170279348e-5 - 1.1389923062155027e-5im,2.709972332681776e-5 - 8.719421321246035e-6im,2.7873068505268606e-5 - 5.920712137563733e-6im,2.8370109300790425e-5 - 3.076396547452287e-6im,2.8680109784406937e-5 - 1.1528737138277734e-6im,2.9249043873136316e-5 - 5.632021689017108e-7im,2.43062477696121e-5 + 1.662935624802131e-5im,-1.0952655728146965e-5 + 8.582570152793068e-5im,2.6460786949869934e-5 + 1.1574985607915615e-5im,0.0007655296211498146 - 0.0008498002073510369im,0.0015159008564908493 - 0.0013434268360727785im,-0.00631857408200617 + 0.004507684472253633im,-0.025312262727034435 + 0.013624692001640022im,0.01422707229618463 - 0.0054810853860777185im,0.19170834999978942 - 0.04818724796514896im,0.15789801711368348 - 0.0195233430203142im,-0.7227285653270782 + 2.845139172849348e-5im,-1.3671783930123298 - 0.16926470455031178im,1.0685335412231591 + 0.2687763105931681im,4.637910218987848 + 1.7967665027360242im,1.2275031127271037 + 0.6591875444923574im,-7.795272055840295 - 5.51812397596418im,-6.927941563853846 - 6.315614725148077im,5.761748681413556 + 6.725185453917291im,10.014911109008596 + 15.114068864456595im
